case_id,opened_date,closed_date,category,region,status,cycle_time_days,is_exception
OPS-101836,2024-09-21,2024-09-29,Billing Inquiry,Northeast,Closed,7.96,True
OPS-100743,2024-09-21,2024-09-25,Billing Inquiry,Southeast,Closed,4.49,False
OPS-101220,2024-09-21,2024-09-22,Data Correction,Southeast,Closed,1.09,False
OPS-101157,2024-09-21,2024-09-24,Eligibility Check,West,Closed,3.42,False
OPS-100997,2024-09-22,2024-09-25,Account Setup,West,Closed,2.96,False
OPS-100740,2024-09-22,2024-10-09,Renewal Processing,Northeast,Closed,16.97,False
OPS-100422,2024-09-23,2024-09-23,Billing Inquiry,Midwest,Closed,0.61,False
OPS-101616,2024-09-23,2024-09-27,Documentation Review,Northeast,Closed,4.23,False
OPS-100774,2024-09-23,2024-09-25,Eligibility Check,Southwest,Closed,2.66,False
OPS-101322,2024-09-23,2024-09-24,Account Setup,Southwest,Closed,1.63,False
OPS-101313,2024-09-23,2024-09-26,Renewal Processing,Midwest,Closed,3.4,False
OPS-100810,2024-09-23,2024-09-27,Billing Inquiry,West,Closed,4.13,False
OPS-100646,2024-09-23,2024-09-27,Billing Inquiry,West,Closed,4.93,False
OPS-101100,2024-09-24,2024-09-25,Renewal Processing,Midwest,Closed,1.73,False
OPS-100051,2024-09-24,2024-10-26,Dispute Resolution,Southeast,Closed,32.37,False
OPS-100594,2024-09-24,2024-09-26,Data Correction,Northeast,Closed,2.5,False
OPS-100534,2024-09-25,2024-09-25,Billing Inquiry,West,Closed,0.52,False
OPS-100765,2024-09-25,2024-09-29,Eligibility Check,West,Closed,4.14,False
OPS-101910,2024-09-25,2024-09-26,Billing Inquiry,Southeast,Closed,1.53,False
OPS-101951,2024-09-26,2024-10-03,Eligibility Check,Southwest,Closed,7.82,False
OPS-100394,2024-09-26,2024-09-28,Billing Inquiry,Southeast,Closed,2.58,False
OPS-100204,2024-09-26,2024-10-01,Data Correction,Southwest,Closed,5.93,False
OPS-102022,2024-09-26,2024-09-29,Billing Inquiry,Northeast,Closed,3.91,False
OPS-100518,2024-09-26,2024-09-26,Account Setup,Midwest,Closed,0.46,False
OPS-100840,2024-09-26,2024-09-27,Documentation Review,Southeast,Closed,1.24,False
OPS-102114,2024-09-26,2024-11-04,Account Setup,Northeast,Closed,39.12,False
OPS-100682,2024-09-27,2024-09-30,Eligibility Check,Northeast,Closed,3.84,False
OPS-101567,2024-09-27,2024-09-30,Billing Inquiry,Southwest,Closed,3.65,False
OPS-102051,2024-09-27,2024-10-01,Account Setup,Southwest,Closed,4.63,False
OPS-100238,2024-09-27,2024-09-28,Documentation Review,West,Closed,1.21,False
OPS-101948,2024-09-27,2024-09-29,Documentation Review,Northeast,Closed,2.22,False
OPS-100811,2024-09-27,2024-09-28,Data Correction,Southwest,Closed,1.34,False
OPS-100825,2024-09-27,2024-09-30,Account Setup,Midwest,Closed,3.34,True
OPS-100796,2024-09-28,2024-10-02,Service Request,Southwest,Closed,4.87,False
OPS-101928,2024-09-28,2024-10-07,Dispute Resolution,Midwest,Closed,9.52,False
OPS-101044,2024-09-29,2024-10-01,Account Setup,Southwest,Closed,1.95,False
OPS-100871,2024-09-30,2024-10-03,Renewal Processing,West,Closed,3.74,False
OPS-100269,2024-09-30,2024-10-02,Billing Inquiry,Midwest,Closed,2.04,False
OPS-100084,2024-09-30,2024-10-07,Billing Inquiry,Northeast,Closed,7.47,False
OPS-101893,2024-09-30,2024-10-02,Billing Inquiry,Southwest,Closed,2.36,False
OPS-100135,2024-09-30,2024-10-04,Service Request,Southwest,Closed,4.32,False
OPS-100149,2024-09-30,2024-10-02,Account Setup,Midwest,Closed,2.4,False
OPS-101901,2024-09-30,2024-10-03,Service Request,West,Closed,2.98,False
OPS-102030,2024-09-30,2024-10-04,Renewal Processing,Southeast,Closed,4.79,False
OPS-102037,2024-09-30,2024-10-01,Data Correction,Northeast,Closed,1.49,False
